id,citations
77152,0
253904,0
46386,0
19572,0
182480,0
53798,0
319027,0
323322,0
52550,0
243774,0
10152,0
203538,0
153095,0
287064,0
73386,0
143187,0
52613,0
15661,0
71140,0
123013,0
132344,0
354065,0
65107,0
183653,0
292637,0
201589,0
84287,0
211267,0
230195,0
155157,0
125719,0
125846,0
122257,0
309315,0
105386,0
244170,0
166267,0
202188,0
70874,0
47212,0
201347,0
249725,0
143357,0
344171,0
161650,0
229519,0
165533,0
182977,0
281097,0
171369,0
133075,0
214872,0
329011,0
39063,0
193059,0
77986,0
356352,0
268906,0
208795,0
301028,0
317020,0
366954,0
267336,0
115435,0
85942,0
64911,0
240541,0
9540,0
311233,0
356294,0
344950,0
246634,0
145891,0
249751,0
303362,0
54097,0
212993,0
19286,0
20474,0
115324,0
116569,0
187303,0
325103,0
369484,0
131884,0
207505,0
152626,0
131060,0
220325,0
343975,0
11259,0
284517,0
297606,0
12775,0
229420,0
149785,0
16359,0
310745,0
364558,0
274591,0
116392,0
64450,0
56749,0
353222,0
268631,0
332721,0
297023,0
31420,0
10593,0
11469,0
200858,0
211811,0
173128,0
105865,0
186927,0
33039,0
180202,0
320884,0
127027,0
121865,0
173456,0
25121,0
272491,0
7043,0
4976,0
161825,0
18986,0
178354,0
123435,0
233651,0
96738,0
209607,0
344243,0
344880,0
96461,0
250522,0
301081,0
68559,0
29605,0
221888,0
349778,0
355577,0
66918,0
330835,0
334455,0
25283,0
259850,0
112269,0
56276,0
197747,0
288443,0
74698,0
238073,0
268471,0
343324,0
74168,0
109642,0
113359,0
363909,0
136358,0
171261,0
251078,0
269093,0
119448,0
188261,0
120409,0
148959,0
336176,0
19798,0
186583,0
320982,0
107333,0
285071,0
283044,0
122802,0
109519,0
259454,0
356796,0
282479,0
11155,0
111537,0
263441,0
239487,0
169723,0
97350,0
8835,0
85665,0
282951,0
71793,0
186547,0
341954,0
306271,0
228403,0
199133,0
241327,0
115308,0
36259,0
229071,0
304375,0
236902,0
99806,0
7120,0
49429,0
356879,0
257849,0
364297,0
167182,0
259772,0
67679,0
261613,0
257358,0
201093,0
146620,0
116667,0
121263,0
200384,0
124775,0
220047,0
110663,0
311805,0
47819,0
60084,0
201432,0
175159,0
65261,0
251927,0
